product_name,vendor_name,taxonomy_category,taxonomy_sub_category,product_description
Power Tax,POWERPLAN INC,Enterprise Platforms,Finance,"Provides enterprise software solutions. The Company develops, supports, and maintains budgeting, project, asset, depreciation, lease, property tax, and income tax software solutions."
eSignature,DOCUSIGN,Enterprise Platforms,Enterprise Content Management (ECM),"Subscription based, online, electronic signature and document management platform

DocuSign offers eSignature, a way to sign electronically on different devices"
Toolkit,ACTIVE PDF INC,Enterprise Platforms,Enterprise Content Management (ECM),"ActivePDF�is the leading global provider of server-side PDF automation and digital transformation tools that enable the ability to create, convert, modify, view,�"
Adobe Sign,ADOBE SYSTEMS INC,Enterprise Platforms,Enterprise Content Management (ECM),"Adobe Sign is a cloud-based e-signature service that allows the user to send, sign, track, and manage signature processes using a browser or mobile device. It is part of the Adobe Document Cloud suite of services"
Experience Manager (AEM),ADOBE SYSTEMS INC,Enterprise Platforms,Enterprise Content Management (ECM),"Adobe Experience Manager (AEM), is a comprehensive content management solution for building websites, mobile apps and forms. And it makes it easy to manage your marketing content and assets."
ActiveBatch,ADVANCED SYSTEMS CONCEPTS INC,Enterprise Platforms,Workflow and Business Process Management (W-BPM),"ActiveBatch, a Workload Automation and Job Scheduling�system, integrates business applications, stand-alone tasks, processes, and scripts across different computing environments to give the user a centralized view of operations at the project, organizational or enterprise level."
Target,ADOBE SYSTEMS INC,Enterprise Platforms,Enterprise Content Management (ECM),Adobe Target is a personalization solution that makes it easy to identify your best content through tests that are easy to execute. So you can deliver the right experience to the right customer.
Finance Solution,ANAPLAN INC,Enterprise Platforms,Finance,"Anaplan is the leading planning and performance management platform for smart businesses.  Anaplan combines an unrivaled planning and modeling engine, predictive analytics, and cloud collaboration into one simple interface for business users."
Configure Price Quote (CPQ),APTTUS CORPORATION,Enterprise Platforms,Supply Chain Management (SCM),"Apttus�provides category-defining Quote-to-Cash software delivering CPQ, Contract Management, E-Commerce & Revenue Management. Now a Conga Company."
FAXCOM Server,BISCOM INC,Enterprise Platforms,Enterprise Content Management (ECM),"Biscom's FAXCOM�Suite provides a collection of management tools and software to facilitate and automate user management, fax server and cloud administration, inbound and outbound rules and policies, and business processes and workflows."
Bonita Platform,BONITASOFT USA INC,Enterprise Platforms,Workflow and Business Process Management (W-BPM),"The Enterprise edition of the Bonita platform addresses core and critical process automation use cases. This edition adds additional capabilities to Bonita Community to secure, scale, monitor and continuously improve process automation projects.

The Bonita Enterprise edition is bundled with subscription services that provide full project lifecycle support and services from development to operations."
Automic,CA INC,Enterprise Platforms,Workflow and Business Process Management (W-BPM),"With the�Automic�solution, you�can�rapidly integrate all of your business processes into a single, comprehensive workload automation strategy that is shared from Dev to Ops.

CA Automic Workload Automation gives you the agility, speed, visibility and scalability needed to respond to the constantly changing technology landscape. manage complex workload across platforms, ERP systems, business apps from mainframe to microservices and the cloud. Automating manual steps within business processing and integrating workflow tasks across agile and traditional teams."
Productivity Accelerator,CA INC,Enterprise Platforms,Workflow and Business Process Management (W-BPM),"CA Productivity Accelerator is a powerful technology solution that helps organizations to efficiently deploy, maintain and upgrade any software by covering the complete application life cycle. This includes design, implementation, user readiness training, along with post go-live performance support when users are working in live systems."
Singleview,CSG INTERNATIONAL,Customer Operational Platforms,Ordering & Billing,"(Formerly INTEC BILLING INC)  Singleview is the only real-time charging, billing and customer care solution designed from the ground up for converged markets and B2C, B2B and B2B2X business models. Singleview removes the expense and risk often seen with typical billing/CRM integration programs."
Leasenet,DATANET INC,Enterprise Platforms,Enterprise Content Management (ECM),Lease and Contract Management Software
Costpoint,DELTEK INC,Enterprise Platforms,Enterprise Resource Planning (ERP),"Costpoint is�an ERP solution from�Deltek�designed for government contractors. The platform simplifies project-based billing, revenue recognition, expense management, and compliance."
GovWin IQ,DELTEK INC,Enterprise Platforms,Enterprise Resource Planning (ERP),"The state, local, and education (SLED) market is made up of government business opportunities worth $1.5 trillion. With spending on the rise and opportunities in abundance in many states and localities, businesses are using tools like GovWin IQ to take advantage and develop their public sector sales strategies. 
GovWin IQ supports vendors involved in state and local government contracting by enabling them to identify projects well before the bid or RFP is released, pursue deals faster with data-backed confidence, and plan strategically to compete and win in the SLED market."
DesignPro Tools Plus,ELIXIR TECHNOLOGIES CORP,Enterprise Platforms,Enterprise Content Management (ECM),"DesignPro�is the next generation of�Elixir�Suites � new and improved tools for creating and editing print resources and designing business documents. Print resources and page layouts are created and edited in an easy to use graphical Windows environment.

DesignPro Tools Plus provides a visual interface that enables designers to create and edit the form, font and image resources for documents produced on AFP and Xerox production printers Concurrent licensing enables multiple users from a single license."
Factset Digital,FACTSET RESEARCH SYSTEMS INC,Enterprise Platforms,Finance,"Instant Access to Market Trends, Company & Industry Intelligence and Performance."
GXS Suite,OPEN TEXT CORP,Enterprise Platforms,Enterprise Content Management (ECM),"GXS provides business-to-business integration and on-demand supply chain integration, synchronization and collaboration solutions over its cloud platform."
Exstream,OPEN TEXT CORP,Enterprise Platforms,Enterprise Content Management (ECM),"OpenText Exstream is designed for omnichannel customer communication management (CCM), transforming regular customer communications into highly personalized, engaging customer experiences. Exstream leverages data and existing content within the organization to deliver communications through customers' preferred digital and print channels, screen sizes and devices.

Exstream is a multichannel customer communication management (CCM) solution that empowers you to make the most of every customer touch point by creating insightful, impactful, real-time customer communications.

Exstream product also includes the B2- SWM Renewal - Proforma - Output Sorting and Bundling, Node Locked, Production Maint, Portable Document Format (PDF) Output"
RightFax,OPEN TEXT CORP,Enterprise Platforms,Enterprise Content Management (ECM),RightFax is a scalable fax server solution that can meet the needs of any size organization. Key benefits include: ... Increase productivity by allowing users to fax directly from business applications and workstations. Shorten the business cycle by speeding document delivery and integrating with your business workflow.
Vendor Invoice Management,OPEN TEXT CORP,Enterprise Platforms,Finance,"OpenText� Vendor Invoice Management Solutions is an industry leading invoice management and processing solution. An integral part of SAP, Vendor Invoice Management for SAP� Solutions includes pre-configured rules, roles and actions to fully automate invoice receipt and posting. Vendor Invoice Management Solutions goes beyond finance to cover order confirmations, delivery notes, sales orders and remittance."
Extended ECM,OPEN TEXT CORP,Enterprise Platforms,Enterprise Content Management (ECM),"Integrate content services with lead applications to bridge content silos, expedite information flows and expand governance.  Includes Prime Protect Program Fee

With OpenText Extended ECM Platform, content is transparently integrated with other leading applications such as SAP S/4HANA, SAP SuccessFactors, Salesforce, Microsoft Office 365 or any other process-driving software. With ECM integrations, the content services platform bridges content silos and intelligently automates business processes to allow information to flow effortlessly across applications."
Business Monitor,IBM,Enterprise Platforms,Workflow and Business Process Management (W-BPM),"IBM Business Monitor�provides detailed�business�activity�monitoring�to help improve�business�agility. It offers customizable dashboards, notifications and alerts to provide near real-time visibility into�business�operations, transactions and processes for better�business�insights."
Content Manager OnDemand (CMOD),IBM,Enterprise Platforms,Enterprise Content Management (ECM),"IBM��Content Manager OnDemand�solution automatically captures and stores high volumes of documents including XML data sets, outbound statements and internal production reports.�"
Content Manager,IBM,Enterprise Platforms,Enterprise Content Management (ECM),"Provide ECM support for z/OS�IBM Content Manager�for�IBM�z/OS is a scalable ECM solution that provides integrated�content�management features for all types of�content, including images, documents and rich media."
Decision Center,IBM,Enterprise Platforms,Workflow and Business Process Management (W-BPM),IBM's Business Rule Management System (BRMS)
Enterprise Records,IBM,Enterprise Platforms,Enterprise Content Management (ECM),"IBM Enterprise Records�provides content, processes and connectivity to help you maintain and provide a�record�of compliance for electronic and physical�records"
FileNet Content Manager,IBM,Enterprise Platforms,Enterprise Content Management (ECM),"IBM FileNet Content Manager is a flexible, full-featured content management solution that helps enable the creation of innovative business applications on any cloud to govern all enterprise content, automatically extract insight from unstructured content and dissolve content silos"
CloudSuite Workforce Management,INFOR US INC,Enterprise Platforms,Human Resources Management (HRM),"Infor CloudSuite Workforce Management (WFM) is a leading-edge, comprehensive, and modern solution that strategically enhances workforce planning, execution, and analysis. ... Infor Workforce Management is a comprehensive solution that aligns labor management with corporate strategy."
Sales and Operations Planning,JDA SOFTWARE INC,Enterprise Platforms,Supply Chain Management (SCM),JDA Software is a software and consultancy company that specializes in selling supply chain management products and services to businesses. Name changed to Blue Yonder.
Workforce Central Workforce Integration Manager (WIM),KRONOS INC,Enterprise Platforms,Human Resources Management (HRM),"Kronos Workforce Central is�a full-service suite designed to meet the needs of businesses of all sizes, regardless of industry. ... It facilitates the management of an entire team, driving employee engagement and bolstering business processes."
Workforce Dimensions,KRONOS INC,Enterprise Platforms,Human Resources Management (HRM),"Kronos Dimensions Is A Workforce Management Solution Which Will Provide A Forecasting, Scheduling, Time Capture And Analytics And Communication Platform For The Wireless Retail Stores.  With This Engagement We Will Receive A Desktop And Mobile Solution."
Inventory Planning and Optimization,LOGILITY INC,Enterprise Platforms,Supply Chain Management (SCM),Logility is a supply chain management software that provides you with advanced analytics and optimized planning to enable you to gain a competitive advantage. Integrated business planning. Demand optimization.  Inventory optimization.  Integration and master data management.
OnBase,HYLAND INC,Enterprise Platforms,Enterprise Content Management (ECM),"OnBase, Hylands flagship product, is a single enterprise information platform designed to manage your content, processes and cases. OnBase centralizes your important business content in one secure location, and then delivers relevant information to you when you need it, wherever you are. Increase productivity, deliver excellent customer service and reduce risk across your entire enterprise. Vendor name in AP Transaction is DataBank IMX LLC"
AnyDoc,HYLAND INC,Enterprise Platforms,Enterprise Content Management (ECM),"AnyDoc is a powerful automated data capture product that can be leveraged alongside OnBase or any 3rd party content repository. With AnyDoc, organizations automatically identify and capture data from incoming documents to streamline key processes and ensure accurate information gets to those who need it as quickly as possible."
Service Manager,MICRO FOCUS US INC,Enterprise Platforms,Workflow and Business Process Management (W-BPM),"Service Manager is scalable service desk software powered by machine learning, analytics, and automation. Proven, integrated, and easy to use, it provides a powerful ITSM platform for standardizing service delivery and support across the enterprise."
Dynamics GP,MICROSOFT CORP,Enterprise Platforms,Enterprise Resource Planning (ERP),"Microsoft Dynamics is a line of enterprise resource planning and customer relationship management software applications.

Dynamics GP mid-market business accounting or enterprise resource planning (ERP) software package that uses Microsoft SQL Server to store data. It's written in the Dexterity programming language and is part of the Microsoft Dynamics suite of intelligent business applications."
Metasolv,ORACLE,Enterprise Platforms,Supply Chain Management (SCM),"MetaSolv Solution (MSS) provides end-to-end service fulfillment for communications service providers, including order management, inventory management, and service activation. Use MSS to create service requests, define product offerings, design network systems, provision services, and manage inventory, such as equipment, connections, IP addresses, telephone numbers, and networks."
PeopleSoft,ORACLE,Enterprise Platforms,Enterprise Resource Planning (ERP),"PeopleSoft is an ERP solution that integrates human capital management (HCM), financial management, supplier relationship management, enterprise services automation, supply chain management and campus solutions modules."
Case Management,PEGASYSTEMS INC,Enterprise Platforms,Workflow and Business Process Management (W-BPM),"Case management is a software-based approach to helping people accomplish daily work and automating work from end-to-end. As the central concept of our low-code automation platform, the case is the epicenter and used to manage tasks, outcomes, and related sub-cases – all with the goal of completing a journey and delivering business outcomes"
EngageOne Designer,PRECISELY SOFTWARE INC,Enterprise Platforms,Enterprise Content Management (ECM),Designer and Generate provide an integrated environment for designing and publishing personalized customer communications
GeoTAX,PRECISELY SOFTWARE INC,Enterprise Platforms,Finance,GeoTAX�is an easy-to-use web application that helps vendors of taxable goods and services instantly assess local tax rates.
Poppulo,POPPULO INC,Enterprise Platforms,Human Resources Management (HRM),"Poppulo Mobile�ensures you reach all of your employees, even in a diversified workplace. ... Through the use of�Poppulo's mobile�app, your employees remain connected, wherever they work and whenever they want.

Poppulo helps you create the clarity your employees need to drive business outcomes with the industry�s most personalized, data-driven communications."
Reflectview,REFLECT SYSTEMS INC,Enterprise Platforms,Enterprise Content Management (ECM),"The cornerstone of our platform for nearly 20 years, ReflectView is the trusted digital signage platform for many of America's top companies. ReflectView successfully delivers content to more than 400,000 screens daily.

ReflectView enables seamless operation and management of vast digital signage networks"
DocuWare,RICOH USA INC,Enterprise Platforms,Enterprise Content Management (ECM),DocuWare�document control system enables any size organization to transform documents into valuable information that moves business forward.
Auto Store (NSI File Import),RICOH USA INC,Enterprise Platforms,Enterprise Content Management (ECM),"With Nuance� AutoStore� from Ricoh, you can capture paper and electronic documents from almost any source; process a variety of formats and then share the information immediately via a wide range of line- of-business applications, email, FTP sites, network folders, archives, document management systems and more."
AFP2PDF Plus,RICOH USA INC,Enterprise Platforms,Enterprise Content Management (ECM),Enables customers to transform powerful Advanced Function Presentation (AFP) data streams into Web-ready electronic PDF documents.
Hana Enterprise Cloud,SAP,Enterprise Platforms,Enterprise Resource Planning (ERP),"SAP S/4HANA (High-Performance Analytic Appliance) is SAP's ERP for large enterprises

SAP stands for Systems Applications and Products in Data Processing. SAP, by definition, is also the name of the ERP (Enterprise Resource Planning) software as well as the name of the company. ... SAP system consists of a number of fully integrated modules, which covers virtually every aspect of business management. - 1 ERP Cloud Subscriptions. HEC (Hana Enterprise Cloud)"
Hana Enterprise Cloud,SAP,IT Infrastructure Software Services,Database Management Systems (DBMS),"SAP S/4HANA (High-Performance Analytic Appliance) is SAP's ERP for large enterprises

SAP stands for Systems Applications and Products in Data Processing. SAP, by definition, is also the name of the ERP (Enterprise Resource Planning) software as well as the name of the company. ... SAP system consists of a number of fully integrated modules, which covers virtually every aspect of business management. - 1 ERP Cloud Subscriptions. HEC (Hana Enterprise Cloud)"
SPSLE,SAP,Enterprise Platforms,Enterprise Resource Planning (ERP),Support For Large Enterprise. Support for NSAP - VSAP
Seal,DOCUSIGN,Enterprise Platforms,Enterprise Content Management (ECM),Seal Software provides a better way to find answers and continually improve outcomes. Seal is helping companies solve problems across a wide range of use cases. From strategic M&A initiatives to tactical projects Seal provides a faster time to value than manual processes and traditional contract management tools alone.
Sharegate Migration Tool,SHAREGATE,Enterprise Platforms,Enterprise Content Management (ECM),"Migrate or upgrade to any version of�SharePoint�with�ShareGate�Desktop's powerful�SharePoint�migration tool. Migrate from file shares,�SharePoint,�SharePoint�Online, Box, or Google Drive. Move content between�SharePoint�sites and tenants with unlimited data."
ROC Revenue Assurance (Moneta),SUBEX INC,Enterprise Platforms,Finance,The ROC (Revenue Optimization Center) Revenue Assurance solution from Subex simplies the highly complex Revenue Assurance domain by introducing two path breaking concepts- RevenuePad and Zen
Managed File Transfer (MFT),TIBCO SOFTWARE INC,Enterprise Platforms,Enterprise Content Management (ECM),"TIBCO Managed File Transfer lets you consolidate all your organization's file transfer processes into a single, secure, centrally managed MFT system with support for: File transfers between systems or applications (A2A) File transfers between business partners (B2B)"
Enterprise Workforce Management (WFM),VERINT AMERICAS INC,Enterprise Platforms,Human Resources Management (HRM),"Verint� Enterprise�Workforce Management is a web-based solution for planning, forecasting, and scheduling work as well as�managing�resources and processes across the enterprise, from contact centers to branch and back-office operations. Verint Enterprise Workforce Management provides unified applications designed specifically to help organizations gain visibility into � and more effectively manage � the work they perform, the activities of people who perform it, and the processes used to accomplish it. Replaces Qfiniti (formerly Open Text), Nexidia, Nice and Clarabridge."
SEC Reporting Tool,WORKIVA INC,Enterprise Platforms,Finance,"Workiva�provides a centralized cloud platform that connects people, data, and processes to increase efficiency and reduce risk in�SEC reporting."
EPM Maestro,AMOSCA LIMITED,Enterprise Platforms,Finance,The EPM�Maestro�Suite is a unique product set developed to complement Oracle Hyperion Financial Management (HFM).�
Drawloop DocGen,NINTEX USA INC,Enterprise Platforms,Enterprise Content Management (ECM),Nintex Drawloop DocGen for Salesforce is the only no-code document generation solution on the AppExchange. Its drag-and-drop designer interface makes it easy for Salesforce admins with no coding experience to build automated solutions for existing manual document creation tasks.
Camunda Platform,CAMUNDA,Enterprise Platforms,Workflow and Business Process Management (W-BPM),Business Rules Decision Modeling Notation (DMN)
Coursera,COURSERA INC,Enterprise Platforms,Human Resources Management (HRM),"Coursera is a totally comprehensive platform for adult further education. It offers everything from music, art and philosophy to computer security, software development, cloud computing, mechanical engineering and astronomy."
iGrafx,IGRAFX LLC,Enterprise Platforms,Workflow and Business Process Management (W-BPM),"Business process management (BPM) solution. The solution provides a single point of entry for enterprise-wide accessibility and adoption which helps managers to access updated dashboards and view on real-time performance

The iGrafx� platform addresses many aspects of business and enterprise architecture modeling, and can be used for creating enterprise-wide modeling data. With iGrafx, you can model your enterprise landscape, IT architecture and resources, align strategies and goals, and enable risk and compliance management."
SinglePoint,NORTHERN LIGHT SINGLEPOINT LLC,Enterprise Platforms,Enterprise Content Management (ECM),SinglePoint delivers on the promise of research-driven competitive advantage by making information easy to find and use.  It is a custom-built enterprise knowledge management platform that seamlessly integrates and enables full-text search of all your research resources to create an invaluable market research/competitive intelligence portal.
Pazien analytics platform,PAZIEN INC,Enterprise Platforms,Finance,"Payments analytics platform that automatically gathers your processor, gateway and order management data and breaks the numbers down for you. Pazien acquired by FIS"
PleaseReview,PLEASETECH LTD,Enterprise Platforms,Enterprise Content Management (ECM),"PleaseReview is a mission-critical application in support of proposal compliance and quality. PleaseReview provides significant value in terms of streamlining the quality validation process of proposal and contract modification reviews, reducing the time it takes to process inbound and outbound review documents from up to a week to just minutes

New Company name - IDEAGEN TECHNOLOGY"
Qvidian,UPLAND SOFTWARE INC,Enterprise Platforms,Enterprise Content Management (ECM),Qvidian is the proposal automation software for Blackboard's global RFP Team and it is used to respond to all strategic Sales proposals that have been approved via internal stakeholders.
Workday Enterprise Cloud,WORKDAY INC,Enterprise Platforms,Human Resources Management (HRM),"Workday is a cloud-based software vendor that specializes in human capital management (HCM), enterprise resource management (ERP), and financial management applications"
Activ Absence,CODEL SOFTWARE LTD,Enterprise Platforms,Human Resources Management (HRM),"Cloud-based staff holiday planning and absence management software solution. Provided based on 16,000 staff worldwide
Workforce management tool"
TAP Workflow Automation,MITRATECH HOLDINGS INC,Enterprise Platforms,Workflow and Business Process Management (W-BPM),No-code automation software to transform high-volume workload into streamlined workflows. Thinkmart Automation Platform (TAP)
Visualize ROI,EREALINVESTOR INC,Enterprise Platforms,Finance,"VisualizeROI enables value communication through Interactive ROI calculators, TCO tools, and Value selling tools.

eRealInvestor is a web-based suite of financial analysis software for residential real estate Investors and their professional advisors."
RFP Response,LOOPIO INC,Enterprise Platforms,Enterprise Content Management (ECM),"Loopio is a cloud-based request for proposal (RFP) solution that is suitable for midsize and large businesses. Primary features include content management, content libraries, team collaboration, import and export and advanced search.

Never choose between quality and speed again. Deliver the best proposals 
and hit your deadlines with Loopio�s RFP response software for RFPs, Security Questionnaire, and DDQs."
Avalara AvaTax,AVALARA INC,Enterprise Platforms,Finance,"Improve compliance, reduce risk, and spend less time managing sales tax changes. Easily plug into many of the business applications you already use. See how. 1,000+ Integrations. Auto-Connect Your Data. Works w/ Current Software. End-to-End CompliancAvalara�s 

AvaTax Service is used for calculating transactional taxes on the sale of goods and services, including sales, use, and value added taxes."
SHIBUMI,SHIBUMI,Enterprise Platforms,Finance,"Shibumi is a cloud-based enterprise app providing work management, collaboration and performance measurement services for businesses. The platform is used to platform to create, track and analyze portfolio and value management for projects and programs within your organization."
Fusion Cloud Enterprise Performance Management (EPM),ORACLE,Enterprise Platforms,Finance,"Oracle Fusion Cloud Enterprise Performance Management (EPM) helps you model and plan across finance, HR, supply chain, and sales, streamline the financial close process, and drive better decisions."
Enterprise Data Management (EDM),ORACLE,Enterprise Platforms,Finance,"Oracle Enterprise Data Management Cloud (EDM) provides us a central change management platform that enables us to align our enterprise hierarchies in a single location and distribute them to the operational, financial and reporting systems."
360 Cloud,360 CLOUD APPS LLC,Enterprise Platforms,Enterprise Resource Planning (ERP),"360 Cloud Apps, automates recurring invoices, electronic payments, and renewals directly in NetSuite"
MoveIt,IPSWITCH,Enterprise Platforms,Enterprise Content Management (ECM),"Progress MOVEit is the leading secure Managed File Transfer (MFT) software to provide complete visibility and control over file transfer activities. Whether deployed as-a-Service, in the Cloud, or on premises, MOVEit enables organization to meet compliance standards, easily ensure the reliability of core business processes, and secure the transfer of sensitive data between partners, customers, users and systems.
Progress Formerly Ipswitch."
GovernX,ISG INFORMATION SERVICES GROUP AMERICAS,Enterprise Platforms,Enterprise Content Management (ECM),"GovernX gives you the power to manage your entire portfolio of contracts, continuously monitor and evaluate performance, risks and issues, integrating seamlessly with your financial, procurement and other business applications. Advanced analytics and automation."
ABS Suite Plus,MOODYS INVESTORS SERVICE,Enterprise Platforms,Finance,Moody's Analytics ABS Suite is a comprehensive structured finance administration solution to handle complex structured finance issuance requirements.
eDOCS,OPEN TEXT CORP,Enterprise Platforms,Enterprise Content Management (ECM),"OpenText eDOCS is a flexible, collaborative enterprise content management (ECM) system designed to support the needs of law firms, corporate legal departments and other professional services organizations"
MaxSecure,SAP,Enterprise Platforms,Enterprise Resource Planning (ERP),SAP National Security Service Inc support contract
Certification Hub,SAP,Enterprise Platforms,Enterprise Resource Planning (ERP),Certification Hub provides you with the option to schedule up to a maximum of 6 exam bookings over your 12-month subscription period. Your subscription is valid for all exams available for booking on the Certification Hub.
Service Cloud,SAP,Enterprise Platforms,Enterprise Resource Planning (ERP),"SAP Cloud Application Services provides a wide range of services for managing business process and application logic, data layers, application security, software releases, performance, integrations, and more through a subscription. SAP Cloud for Service C4S. Sales and Service Cloud Test Tenant is the testing environment for SAP Service Cloud. Test Tenant is an additional $154,125"
Enable Now,SAP,Enterprise Platforms,Enterprise Resource Planning (ERP),"The solution provides in-application help and e-learning content to users. And with the SAP Companion service as an interface for SAP Enable Now, you can deliver that assistance intelligently."
Enterprise Resource Planning (ERP),SAP,Enterprise Platforms,Enterprise Resource Planning (ERP),"Enterprise resource planning (ERP) is a software system that helps you run your entire business, supporting automation and processes in finance, human resources, manufacturing, supply chain, services, procurement, and more. This is in the FLA (Flexible License Agreement)"
Learning Hub,SAP,Enterprise Platforms,Enterprise Resource Planning (ERP),"SAP Learning Hub is a digital learning solution that supports learners to build and maintain SAP software skills. It provides online, collaborative, hands-on, and expert-led training to upskill across the SAP solution portfolio."
BinBase,SELKAR TRADING LTD,Enterprise Platforms,Finance,"BinBase.com provides merchant solutions for reducing credit card losses, and offers law
enforcement agency support for Bank Identification Number information."
Cashflow Management Platform,TESORIO INC,Enterprise Platforms,Finance,"Tesorio combines transaction-level data, predictive AI and human adjustments, so you'll never waste time building direct method forecasts again. Easily view, create or adjust your forecasts to deliver critical cash insights�and make better business decisions, faster."
DNA Advantage,CISCO SYSTEMS INC,"Performance, Monitoring & Logging",Monitoring & Logging,"Cisco DNA Advantage delivers policy-based automation with SD Access, monitoring, and Cisco DNA Assurance. Customers need to buy ISE Base, ISE Plus, and Stealthwatch® to enable all Cisco DNA use cases. Cisco DNA Premier delivers policy-based automation with SD Access, Cisco DNA assurance, and enhanced security."
DNA Advantage,CISCO SYSTEMS INC,"Performance, Monitoring & Logging",Network Performance & Resiliency,"Cisco DNA Advantage delivers policy-based automation with SD Access, monitoring, and Cisco DNA Assurance. Customers need to buy ISE Base, ISE Plus, and Stealthwatch® to enable all Cisco DNA use cases. Cisco DNA Premier delivers policy-based automation with SD Access, Cisco DNA assurance, and enhanced security."
T-RECS,TRINTECH INC,Enterprise Platforms,Finance,Quickly and painlessly prepare reliable financial statements with automated end-to-end account reconciliation
Alfabet,SOFTWARE AG USA INC,Enterprise Platforms,Enterprise Architecture Management (EAM),"Enterprise architecture (EA) tools allow organizations to examine both the need for and the impact of change. They capture the interrelationships and interdependencies within and between an ecosystem of partners, operating models, capabilities, people, processes, information, and applications and technologies. They provide a central repository to capture data and metadata about the artifacts that an enterprise cares about and their related life cycles. models represent the relationships between these artifacts and are themselves treated as assets that help describe and shape the future of the enterprise. EA tools help with investment decisions for both IT and the broader enterprise. When models are combined with operational performance data, they can help improve business outcomes and shape the construction and ongoing development of digital platforms."
LeanIX,LEANIX,Enterprise Platforms,Enterprise Architecture Management (EAM),"Enterprise architecture (EA) tools allow organizations to examine both the need for and the impact of
change. They capture the interrelationships and interdependencies within and between an ecosystem
of partners, operating models, capabilities, people, processes, information, and applications and
technologies. They provide a central repository to capture data and metadata about the artifacts that
an enterprise cares about and their related life cycles. Models represent the relationships between
these artifacts and are themselves treated as assets that help describe and shape the future of the
enterprise. EA tools help with investment decisions for both IT and the broader enterprise. When
models are combined with operational performance data, they can help improve business outcomes
and shape the construction and ongoing development of digital platforms."
Abacus,AVOLUTION,Enterprise Platforms,Enterprise Architecture Management (EAM),"Enterprise architecture (EA) tools allow organizations to examine both the need for and the impact of
change. They capture the interrelationships and interdependencies within and between an ecosystem
of partners, operating models, capabilities, people, processes, information, and applications and
technologies. They provide a central repository to capture data and metadata about the artifacts that
an enterprise cares about and their related life cycles. Models represent the relationships between
these artifacts and are themselves treated as assets that help describe and shape the future of the
enterprise. EA tools help with investment decisions for both IT and the broader enterprise. When
models are combined with operational performance data, they can help improve business outcomes
and shape the construction and ongoing development of digital platforms."
ADOIT,BOC,Enterprise Platforms,Enterprise Architecture Management (EAM),"Enterprise architecture (EA) tools allow organizations to examine both the need for and the impact of
change. They capture the interrelationships and interdependencies within and between an ecosystem
of partners, operating models, capabilities, people, processes, information, and applications and
technologies. They provide a central repository to capture data and metadata about the artifacts that
an enterprise cares about and their related life cycles. Models represent the relationships between
these artifacts and are themselves treated as assets that help describe and shape the future of the
enterprise. EA tools help with investment decisions for both IT and the broader enterprise. When
models are combined with operational performance data, they can help improve business outcomes
and shape the construction and ongoing development of digital platforms."
ARDOQ,ARDOQ,Enterprise Platforms,Enterprise Architecture Management (EAM),"Enterprise architecture (EA) tools allow organizations to examine both the need for and the impact of
change. They capture the interrelationships and interdependencies within and between an ecosystem
of partners, operating models, capabilities, people, processes, information, and applications and
technologies. They provide a central repository to capture data and metadata about the artifacts that
an enterprise cares about and their related life cycles. Models represent the relationships between
these artifacts and are themselves treated as assets that help describe and shape the future of the
enterprise. EA tools help with investment decisions for both IT and the broader enterprise. When
models are combined with operational performance data, they can help improve business outcomes
and shape the construction and ongoing development of digital platforms."
Capsifi,Capsifi,Enterprise Platforms,Enterprise Architecture Management (EAM),"Enterprise architecture (EA) tools allow organizations to examine both the need for and the impact of
change. They capture the interrelationships and interdependencies within and between an ecosystem
of partners, operating models, capabilities, people, processes, information, and applications and
technologies. They provide a central repository to capture data and metadata about the artifacts that
an enterprise cares about and their related life cycles. Models represent the relationships between
these artifacts and are themselves treated as assets that help describe and shape the future of the
enterprise. EA tools help with investment decisions for both IT and the broader enterprise. When
models are combined with operational performance data, they can help improve business outcomes
and shape the construction and ongoing development of digital platforms."
Hopex,MEGA INTERNATIONAL,Enterprise Platforms,Enterprise Architecture Management (EAM),"Enterprise architecture (EA) tools allow organizations to examine both the need for and the impact of
change. They capture the interrelationships and interdependencies within and between an ecosystem
of partners, operating models, capabilities, people, processes, information, and applications and
technologies. They provide a central repository to capture data and metadata about the artifacts that
an enterprise cares about and their related life cycles. Models represent the relationships between
these artifacts and are themselves treated as assets that help describe and shape the future of the
enterprise. EA tools help with investment decisions for both IT and the broader enterprise. When
models are combined with operational performance data, they can help improve business outcomes
and shape the construction and ongoing development of digital platforms."
Enterprise Architect,SPARX SYSTEMS,Enterprise Platforms,Enterprise Architecture Management (EAM),"Enterprise architecture (EA) tools allow organizations to examine both the need for and the impact of
change. They capture the interrelationships and interdependencies within and between an ecosystem
of partners, operating models, capabilities, people, processes, information, and applications and
technologies. They provide a central repository to capture data and metadata about the artifacts that
an enterprise cares about and their related life cycles. Models represent the relationships between
these artifacts and are themselves treated as assets that help describe and shape the future of the
enterprise. EA tools help with investment decisions for both IT and the broader enterprise. When
models are combined with operational performance data, they can help improve business outcomes
and shape the construction and ongoing development of digital platforms."
